name	length	true_count
ENST00000335137.3	918	0
ENST00000624431.1	718	0
ENST00000623834.1	1374	0
ENST00000623083.1	1687	22
ENST00000624735.1	1604	0
ENST00000426406.2	939	0
ENST00000332831.3	939	0
ENST00000420190.3	626	0
ENST00000437963.3	387	0
ENST00000342066.5	2551	0
ENST00000618323.2	2159	0
ENST00000618779.2	2368	0
ENST00000620200.2	1874	0
ENST00000617307.2	2314	0
ENST00000622503.2	2557	0
ENST00000616125.2	2230	0
ENST00000616016.2	2391	0
ENST00000618181.2	2179	0
ENST00000341065.6	2191	0
ENST00000455979.1	1731	0
ENST00000327044.6	2790	74
ENST00000338591.5	2560	0
ENST00000622660.1	1950	0
ENST00000466300.1	913	0
ENST00000379410.5	2404	0
ENST00000379409.4	2455	0
ENST00000379407.5	2194	0
ENST00000491024.1	698	0
ENST00000341290.4	3035	0
ENST00000433179.3	3340	0
ENST00000428771.4	1040	0
ENST00000304952.8	899	0
ENST00000484667.2	667	0
ENST00000624697.1	788	0
ENST00000624652.1	657	0
ENST00000379389.4	711	27
ENST00000379370.4	7323	46
ENST00000620552.2	7394	0
ENST00000419249.1	813	0
ENST00000453464.2	1902	0
ENST00000379339.3	2429	0
ENST00000379325.5	2010	0
ENST00000421241.4	1841	0
ENST00000477196.3	3214	0
ENST00000467751.3	2099	0
ENST00000379320.3	2324	0
ENST00000379319.3	1097	0
ENST00000434641.3	842	0
ENST00000462097.3	836	0
ENST00000475119.3	740	0
ENST00000442117.3	554	0
ENST00000427787.3	575	0
ENST00000480643.1	579	0
ENST00000379290.3	2283	0
ENST00000379289.3	2259	0
ENST00000379288.3	2114	0
ENST00000486379.1	426	0
ENST00000328596.8	851	0
ENST00000379268.4	1179	0
ENST00000486728.3	727	0
ENST00000379265.5	705	0
ENST00000379236.3	1068	0
ENST00000360001.8	1956	33
ENST00000465727.3	2095	0
ENST00000263741.9	2079	0
ENST00000403997.2	728	0
ENST00000379198.3	2777	0
ENST00000330388.2	1036	0
ENST00000450390.4	2455	0
ENST00000347370.4	2387	0
ENST00000349431.8	1733	0
ENST00000400929.4	1057	0
ENST00000464036.3	1256	0
ENST00000360466.4	1047	0
ENST00000400930.6	1021	0
ENST00000473215.3	1028	0
ENST00000435198.3	1056	0
ENST00000509720.3	472	0
ENST00000466752.3	886	0
ENST00000503294.3	814	0
ENST00000477894.3	767	0
ENST00000422076.3	643	0
ENST00000502382.1	530	0
ENST00000488418.2	750	0
ENST00000379116.7	3044	0
ENST00000379101.6	2268	0
ENST00000338555.4	3475	0
ENST00000616713.2	2871	0
ENST00000400928.5	2731	0
ENST00000470022.1	645	0
ENST00000325425.10	2679	0
ENST00000379099.3	923	0
ENST00000354700.7	3896	0
ENST00000353662.4	2280	0
ENST00000354980.5	582	0
ENST00000379031.7	1287	0
ENST00000467712.1	877	0
ENST00000540437.3	2629	0
ENST00000545578.3	2263	0
ENST00000620829.2	1862	0
ENST00000618806.2	1523	0
ENST00000435064.3	2148	33
ENST00000411962.3	1832	0
ENST00000421495.4	1868	0
ENST00000458452.5	2571	0
ENST00000419704.3	1798	0
ENST00000532772.3	1618	0
ENST00000450926.4	1839	0
ENST00000527098.3	2004	0
ENST00000528879.3	1524	0
ENST00000531377.3	816	0
ENST00000527383.3	668	0
ENST00000434694.4	1056	0
ENST00000526797.3	659	0
ENST00000526332.3	579	0
ENST00000430786.3	849	0
ENST00000527719.3	750	0
ENST00000530031.3	800	0
ENST00000429572.3	1104	0
ENST00000534345.3	485	0
ENST00000531019.3	549	0
ENST00000498476.4	554	0
ENST00000470679.1	584	0
ENST00000525285.1	579	0
ENST00000343938.6	2190	0
ENST00000488011.1	783	0
ENST00000339381.5	3433	0
ENST00000378891.7	2926	0
ENST00000378888.7	3239	0
ENST00000610709.1	2268	0
ENST00000342753.6	2231	0
ENST00000309212.8	2273	0
ENST00000445648.4	2001	0
ENST00000477278.2	2728	0
ENST00000338370.5	1072	0
ENST00000338338.7	1047	18
ENST00000321751.7	798	0
ENST00000378853.3	875	13
ENST00000408952.7	3261	0
ENST00000482621.3	2059	0
ENST00000400809.5	2305	0
ENST00000481223.4	2815	0
ENST00000488340.3	1598	0
ENST00000408918.6	1186	0
ENST00000425598.2	661	0
ENST00000497013.1	548	0
ENST00000344843.9	721	26
ENST00000492508.1	588	0
ENST00000482352.1	1049	0
ENST00000520296.3	1632	0
ENST00000427211.3	1976	0
ENST00000537107.3	2190	0
ENST00000454272.2	1506	0
ENST00000442470.1	876	0
ENST00000378821.3	492	0
ENST00000495558.1	819	0
ENST00000338660.5	2147	0
ENST00000476993.1	4511	0
ENST00000471398.1	458	0
ENST00000378785.4	3859	0
ENST00000475091.2	525	0
ENST00000308647.7	2448	11
ENST00000378756.5	2492	18
ENST00000378755.7	2612	0
ENST00000339113.6	2330	0
ENST00000536055.3	2332	0
ENST00000400830.3	603	0
ENST00000378733.6	718	0
ENST00000425828.1	717	0
ENST00000624426.1	796	0
ENST00000291386.3	1290	46
ENST00000359060.5	4176	0
ENST00000624594.1	276	0
ENST00000422725.2	2086	0
ENST00000520777.3	3321	0
ENST00000355826.7	3290	0
ENST00000518681.3	3116	0
ENST00000505820.4	3305	0
ENST00000489635.3	3034	0
ENST00000514363.1	592	0
ENST00000487053.3	3252	0
ENST00000502470.3	780	0
ENST00000378712.3	2890	0
ENST00000510793.3	889	0
ENST00000504599.3	3311	0
ENST00000503789.3	576	0
ENST00000378708.3	3012	0
ENST00000506488.3	2997	0
ENST00000514234.3	2562	0
ENST00000486072.1	568	0
ENST00000483015.1	1058	0
ENST00000356026.7	1326	0
ENST00000472264.1	556	0
ENST00000512731.3	1531	0
ENST00000378675.5	1309	0
ENST00000618459.2	1308	0
ENST00000412810.4	1239	0
ENST00000479814.3	903	0
ENST00000435358.3	750	0
ENST00000503792.1	799	0
ENST00000490017.1	530	0
ENST00000341832.8	2998	23
ENST00000407249.5	2677	0
ENST00000615951.2	2227	0
ENST00000340677.7	2534	0
ENST00000611150.1	2350	0
ENST00000317673.8	2369	0
ENST00000614300.2	2156	0
ENST00000617444.2	6283	0
ENST00000611123.1	5948	63
ENST00000356200.5	2653	0
ENST00000378638.4	2429	0
ENST00000509982.3	2306	0
ENST00000404249.5	2449	0
ENST00000460465.3	2333	0
ENST00000357760.4	2446	0
ENST00000358779.7	2419	0
ENST00000378633.3	2458	0
ENST00000479362.1	700	0
ENST00000401096.2	450	0
ENST00000355439.4	2078	0
ENST00000246421.4	1430	0
ENST00000341426.7	3235	14
ENST00000341991.5	3098	20
ENST00000378625.3	3653	0
ENST00000342348.7	1722	0
ENST00000498806.1	269	0
ENST00000469045.3	890	0
ENST00000489538.1	475	0
ENST00000497186.3	683	0
ENST00000615252.2	3048	0
ENST00000610897.2	3145	17
ENST00000378609.6	3132	193
ENST00000439272.4	602	0
ENST00000434686.4	684	0
ENST00000437146.1	423	0
ENST00000307786.5	1101	0
ENST00000378604.3	769	0
ENST00000378602.3	1118	0
ENST00000310991.5	929	0
ENST00000378598.4	483	0
ENST00000470931.2	690	0
ENST00000416272.1	313	0
ENST00000493964.3	5247	0
ENST00000378590.4	441	0
ENST00000378585.5	1928	0
ENST00000378567.5	2326	0
ENST00000468310.3	690	0
ENST00000503297.1	468	0
ENST00000400921.4	2294	0
ENST00000495347.3	698	0
ENST00000461106.4	1916	0
ENST00000461465.3	480	0
ENST00000470596.3	788	0
ENST00000496325.3	563	0
ENST00000481140.3	713	0
ENST00000482686.3	614	0
ENST00000400920.3	2009	0
ENST00000486681.3	966	0
ENST00000470986.3	706	0
ENST00000470511.3	567	0
ENST00000471018.4	716	0
ENST00000466352.3	564	0
ENST00000497183.3	763	0
ENST00000478770.4	1542	0
ENST00000400919.5	1413	0
ENST00000428120.3	2313	0
ENST00000414253.3	2216	0
ENST00000400918.5	811	0
ENST00000378543.2	569	0
ENST00000378546.6	729	0
ENST00000440825.4	855	0
ENST00000420515.1	1544	0
ENST00000378536.4	5613	0
ENST00000378531.5	1798	0
ENST00000378529.5	1500	0
ENST00000449373.2	4764	0
ENST00000378525.2	1648	0
ENST00000494279.2	406	0
ENST00000378513.5	3099	0
ENST00000378518.3	522	0
ENST00000605895.3	3044	14
ENST00000306256.11	695	0
ENST00000378512.3	1404	0
ENST00000443438.3	540	0
ENST00000488353.2	2469	0
ENST00000288774.5	2871	0
ENST00000447513.4	1997	0
ENST00000507596.3	1941	0
ENST00000510434.1	907	0
ENST00000508384.3	611	0
ENST00000502666.1	653	0
ENST00000514502.1	548	0
ENST00000609981.3	568	0
ENST00000449969.3	5450	0
ENST00000419816.4	4837	0
ENST00000378486.5	4837	0
ENST00000278878.6	3781	0
ENST00000378466.5	2649	0
ENST00000435556.5	2524	0
ENST00000505228.3	1913	0
ENST00000502512.1	706	0
ENST00000468002.2	670	0
ENST00000486396.1	879	0
ENST00000502770.1	1041	0
ENST00000378453.3	1306	0
ENST00000426449.3	660	0
ENST00000434817.3	834	0
ENST00000435221.4	1225	0
ENST00000451778.3	827	0
ENST00000409119.3	896	0
ENST00000355716.4	1707	48
ENST00000378425.7	2665	0
ENST00000444521.4	2827	0
ENST00000419916.4	2749	0
ENST00000378424.6	2765	0
ENST00000537325.3	1096	0
ENST00000378427.3	2689	0
ENST00000465233.3	589	0
ENST00000498083.1	464	0
ENST00000471840.3	552	0
ENST00000378412.5	2849	0
ENST00000502556.3	1943	0
ENST00000504800.3	2443	0
ENST00000401094.8	2222	0
ENST00000401095.5	1775	0
ENST00000574621.2	694	0
ENST00000378404.3	1421	0
ENST00000511072.3	4282	0
ENST00000378391.4	5447	0
ENST00000514189.3	4236	0
ENST00000270722.7	8690	0
ENST00000463591.1	384	0
ENST00000509860.1	3737	0
ENST00000378378.6	3061	0
ENST00000378373.3	2211	0
ENST00000378371.4	2219	0
ENST00000445297.3	836	0
ENST00000418137.1	576	0
ENST00000294599.6	4501	0
ENST00000356575.6	5455	0
ENST00000485002.4	4705	0
ENST00000491842.1	743	0
ENST00000378344.4	2414	14
ENST00000344579.5	2189	0
ENST00000378322.5	1998	0
ENST00000270708.9	1665	0
ENST00000424367.3	940	0
